fblnSTCLCFirstTimeFiler,fblnSTCLCHiRiskRouting,fblnSTEmail,fblnSTEstimatedPayment,fblnSTFS_Single,fblnSTIPMobile,fblnSTIPNotUS,fblnUINoNameMatch,fcurMeFBusinessIncomeLoss,fcurMeFRefund,fcurMeFSchA1098MortIntNot,fcurMeFSchACasualtyTheftLoss,fcurMeFSchCCommissionsFees,fcurMeFSchCDeprAndSect179,fcurMeFSchCGrossIncome,fcurMeFSchCMortIntPaidBanks,fcurMeFSchCNetGrossReceipts,fcurMeFSchCOfficeExpenses,fcurMeFSchETotDepreciation,fcurMeFSchFDeprSect179Ded,fcurMeFSchFTotalExpenses,fcurMeFSelfEmpHealthIns,fcurMeFW2AllocatedTips,fcurMeFW2LocalWagesAndTips,fcurMeFW2Wages,fcurSTAGI,fcurSTOtherTaxCredit,fcurSTTotalAdjustments,fcurZPIncome,fdblSTCLCSusPreparer,fintMeF8863Count,fintSTCLCRefundVar1,fintSTTPPeriodCount,flngCLCIssueCount,flngEntityRecordCount,fblnFraud
0,0,0,0,0,0,0,1,0,8941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18642,18642,15,0,53902,NULL,0,NULL,3,0,32,1
0,1,0,0,1,0,0,1,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14025,14025,8,0,74378,NULL,0,NULL,3,1,34,1
0,0,1,0,0,0,0,1,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23686,23686,0,0,36450,NULL,0,NULL,9,1,0,1
0,1,0,0,1,0,0,1,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16573,16573,5,0,21694,NULL,0,NULL,1,1,13,1
1,1,0,0,1,0,NULL,1,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13219,13219,8,0,55940,NULL,1,NULL,0,4,0,1
0,1,0,0,1,0,0,1,0,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,53788,53788,53788,0,0,29331,NULL,0,NULL,4,1,34,1
0,0,0,0,0,0,0,1,23785,10321,0,0,0,0,53896,0,53896,0,0,0,0,0,0,0,0,19009,0,-3095,68973,NULL,0,NULL,6,0,26,1
0,1,0,0,1,0,0,1,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8147,8147,14,0,50876,NULL,0,NULL,3,1,9,1
1,1,0,0,1,0,0,1,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13756,13756,0,0,27335,NULL,0,NULL,0,2,8,1
0,1,0,0,0,0,0,1,0,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32900,65080,0,0,42929,NULL,0,NULL,9,1,80,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72615,25692,0,0,48403,NULL,0,NULL,9,0,58,1
0,1,0,0,0,1,0,1,0,7342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21274,63279,0,0,23794,NULL,1,NULL,1,1,6,1
0,1,1,0,0,1,0,1,0,10619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,18900,15,0,41990,NULL,1,NULL,3,1,77,1
0,0,0,0,1,0,0,1,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26971,26111,0,0,44217,NULL,0,NULL,1,0,21,1
0,NULL,0,0,1,1,0,1,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15625,15625,5,0,23794,NULL,0,NULL,1,0,13,1
0,1,0,0,1,0,0,1,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13423,13423,8,0,62193,NULL,1,NULL,3,1,35,1
0,0,0,0,1,0,0,1,0,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,-4255,52194,NULL,0,NULL,9,0,51,1
1,1,0,0,1,0,0,1,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11979,11979,0,0,50453,NULL,0,NULL,0,2,1,1
0,1,0,0,1,0,0,1,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21456,21456,0,0,27335,NULL,0,NULL,2,1,20,1
0,0,1,0,1,0,0,1,-14240,2821,0,0,0,0,-4837,0,0,2354,0,0,0,0,0,0,48270,34030,0,0,71013,NULL,0,NULL,4,0,88,1
0,1,0,0,1,1,0,1,0,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11968,11968,8,0,37882,NULL,0,NULL,4,1,14,1
0,1,0,0,1,1,0,1,0,5229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25050,25050,0,0,21570,NULL,0,NULL,1,1,9,1
0,1,1,0,0,0,0,1,4410,3682,0,0,0,0,4410,0,4410,0,0,0,0,0,0,0,5630,9728,25,0,36459,NULL,0,NULL,2,1,52,1
0,NULL,1,0,0,0,0,1,0,4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9865,9865,14,0,40271,NULL,0,NULL,2,2,18,1
0,0,0,0,1,0,0,1,0,3498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19878,19878,0,0,48170,NULL,1,NULL,1,0,6,1
0,1,1,0,0,0,0,1,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14365,14365,8,0,43365,NULL,0,NULL,7,1,38,1
0,0,1,0,0,0,0,1,0,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11779,23452,131,0,42472,NULL,0,NULL,5,0,53,1
1,1,0,0,1,0,0,1,0,5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,35131,NULL,0,NULL,0,3,1,1
0,1,0,0,0,1,0,1,0,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13257,13257,16,0,37109,NULL,0,NULL,3,1,47,1
0,NULL,0,0,1,0,0,1,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3767,3767,0,0,29735,NULL,0,NULL,7,0,23,1
0,NULL,0,0,1,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18288,5,0,78966,NULL,0,NULL,9,0,47,1
0,1,1,0,1,0,0,1,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6609,9080,14,0,78462,NULL,0,NULL,3,1,36,1
0,1,0,0,0,0,0,1,0,6055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164908,203929,0,0,62438,NULL,0,NULL,9,1,107,1
0,0,1,0,1,0,0,1,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5055,8212,14,0,32363,NULL,0,NULL,3,0,10,1
0,0,0,0,0,0,0,1,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15251,17051,15,0,55082,NULL,1,NULL,3,1,0,1
0,0,1,0,1,0,0,1,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11150,11150,8,0,56475,NULL,1,NULL,1,0,13,1
0,0,0,0,1,0,0,1,0,4420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,10854,0,0,29346,NULL,0,NULL,1,0,32,1
0,1,0,0,1,1,0,1,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13372,13372,8,0,50115,NULL,0,NULL,4,1,37,1
0,0,1,0,0,0,0,1,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,NULL,0,-1072,29886,NULL,0,NULL,3,0,47,1
0,1,0,0,1,1,0,1,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9926,9926,14,0,29201,NULL,0,NULL,3,1,10,1
0,NULL,1,0,0,0,0,1,3329,5024,0,0,0,0,9960,0,9960,1340,0,0,0,0,0,0,5800,8894,8,0,37882,NULL,1,NULL,4,0,22,1
0,0,0,0,0,0,0,1,1879,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649,10337,16,0,29346,NULL,0,NULL,7,0,81,1
0,0,0,0,1,0,0,1,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,8021,0,0,102002,NULL,0,NULL,2,0,26,1
0,1,1,0,0,0,0,1,0,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19467,19467,5,0,33863,NULL,0,NULL,3,1,20,1
0,1,0,0,1,0,0,1,0,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24091,24091,0,0,35096,NULL,1,NULL,6,1,41,1
1,0,0,0,1,1,0,1,0,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41190,41190,0,0,35096,NULL,1,NULL,0,2,1,1
0,1,0,0,1,1,0,1,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7870,7870,20,0,37196,NULL,0,NULL,3,1,39,1
0,0,0,0,0,0,0,1,0,7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,44088,300,0,45861,NULL,0,NULL,3,0,24,1
0,0,0,0,1,1,0,1,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16701,12701,0,-4000,33236,NULL,0,NULL,5,0,19,1
0,0,0,0,1,0,0,1,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21665,21665,0,0,42472,NULL,0,NULL,2,0,21,1
0,1,0,0,0,0,0,1,0,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9763,9763,0,0,38909,NULL,0,NULL,3,0,98,1
1,0,0,0,1,1,0,1,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7268,7268,20,0,35189,NULL,1,NULL,0,1,4,1
0,0,0,0,0,0,0,1,0,4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24051,24051,0,0,35814,NULL,1,NULL,1,0,2,1
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77438,NULL,0,0,52058,NULL,0,NULL,0,1,2,1
0,1,1,0,1,0,0,1,-3300,3603,0,0,0,0,-3250,0,-3300,0,0,0,0,0,0,0,14465,24025,0,0,90240,NULL,1,NULL,8,1,47,1
0,1,0,0,1,0,0,1,0,5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6194,21799,0,0,21461,NULL,0,NULL,4,1,21,1
0,NULL,0,0,0,0,0,1,0,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25828,25828,0,0,61457,NULL,0,NULL,7,1,0,1
0,0,1,0,1,0,0,1,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16694,16694,5,0,66065,NULL,0,NULL,4,0,23,1
0,0,0,0,0,0,0,1,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7585,NULL,0,0,31327,NULL,0,NULL,4,0,30,1
0,1,1,0,1,0,0,1,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5227,5227,2,0,50876,NULL,0,NULL,1,1,28,1
0,0,0,0,1,0,0,1,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6713,6713,20,0,35814,NULL,0,NULL,4,0,14,1
0,0,1,0,0,0,0,1,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,6480,0,0,37741,NULL,0,NULL,4,1,0,1
0,0,1,0,0,0,0,1,0,8039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,13944,24,0,56475,NULL,0,NULL,5,0,65,1
0,0,0,0,1,0,0,1,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5317,NULL,8,0,96507,NULL,0,NULL,1,0,39,1
0,0,1,0,1,0,NULL,1,0,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13670,13670,8,0,68942,NULL,0,NULL,2,0,46,1
0,NULL,0,0,1,0,0,1,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6911,6911,20,0,17043,NULL,0,NULL,5,0,60,1
0,1,0,0,1,0,0,1,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19542,19542,5,0,38580,NULL,0,NULL,6,1,28,1
0,1,1,0,1,0,0,1,0,2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15120,15120,5,0,30980,NULL,1,NULL,3,1,16,1
