fbln1YearWebPayment,fblnAddressChange3Months,fblnAllAccountsCeased,fblnAllAccountsOpen,fblnAllTimeAuditCount,fblnAutomatedLetterSent,fblnDeactivatedCredit1Year,fblnInState,fblnNameChange3Months,fblnNonfiler,fblnPhoneChange3Months,fcurAuditPostings,fcurBalance,fcurMaxWebPayment1Year,fcurMinWebPayment1Year,flngAccountCount,flngAccountsWithBalanceCount,flngCeasedAccountCount,flngDaysOpen,flngDaysSinceLastCollection,flngOpenAccountCount,flngOpenPeriodCount,flngPriorCollectionsCount,fstrCollectDistrict,fstrCustomerType,fstrTaxType,fblnTargetSelfCured
0,0,0,1,0,0,0,0,0,0,0,0,6607.3,0,0,1,1,0,5,-1,1,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,19866.73,0,0,1,1,0,5,-1,1,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,20876.6,0,0,1,1,0,5,-1,1,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,175349.9,0,0,1,1,0,5,4,1,0,1,District 1,COR,Corporate Income,0
1,1,0,1,3,0,0,1,0,0,1,92730.33,37290.38,106000,106000,1,1,0,5,2,1,0,1,District 13,COR,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,3003.03,0,0,1,1,0,5,40,1,0,1,District 1,SCO,Corporate Income,1
0,0,0,1,0,0,0,0,0,0,0,0,180.05,0,0,1,1,0,5,1,1,0,1,District 1,PAR,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,9723.34,0,0,1,1,0,5,189,1,0,1,District 0,COR,Corporate Income,0
0,0,0,1,2,0,0,1,0,0,0,23969,119451.41,0,0,1,1,0,5,320,1,0,1,District 16,COR,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,0,0,75832.06,0,0,1,1,1,5,1,0,0,1,District 2,PAR,Corporate Income,0
1,0,0,1,0,0,0,0,0,0,0,0,10927.82,14500,14500,2,2,0,5,1106,2,0,1,District 0,COR,Corporate Income,0
0,1,0,0,0,0,0,0,0,0,1,0,15428.19,0,0,2,1,1,5,48,1,0,1,District 1,COR,Corporate Income,0
0,0,1,0,0,0,0,1,0,0,0,0,10879.48,0,0,2,1,2,5,-1,0,0,0,District 13,COR,Corporate Income,0
0,1,1,0,0,0,0,0,0,0,0,0,2926.48,0,0,2,1,2,5,279,0,0,1,District 1,COR,Corporate Income,0
1,0,0,1,0,0,0,1,0,0,0,0,5635.64,446,433.8,3,2,0,5,-1,3,0,0,District 13,COR,Corporate Income,0
